job_id,job_title,company,location,work_setup,employment_type,salary,posted_date,job_description
JP0031,BUSINESS INTELLIGENCE ANALYST (URGENT),Hiraya Techworks,"Cebu City, Central Visayas",On-site,Full-time,,"Feb 27, 2026","Hiraya Techworks is looking for a Business Intelligence Analyst based in Cebu City. Responsibilities include working with DAX, Power Query, Power BI, Tableau, Data Modeling. The ideal candidate has strong analytical and communication skills."
JP0066,Junior Business Intelligence Analyst,Kislap Labs,"Cebu City, Central Visayas",Hybrid,Full-time ,,2026-05-01,"Kislap Labs is looking for a Junior Business Intelligence Analyst based in Cebu City. Responsibilities include working with Power Query, Data Modeling, DAX, SQL, Power BI, Tableau. The ideal candidate has strong analytical and communication skills."
JP0065,Data Scientist (Remote),Kislap Labs,"Mandaluyong, Metro Manila",WFH,Permanent,,"Apr 26, 2026","Kislap Labs is looking for a Data Scientist based in Mandaluyong. Responsibilities include working with SQL, Statistics, Pandas, Python. The ideal candidate has strong analytical and communication skills."
JP0054,AI/ML Engineer,Siklab Innovations,"Davao City, Davao Region",On-site,Permanent,₱115.0K - ₱147.0K /mo,2026-04-06,"Siklab Innovations is looking for a AI/ML Engineer based in Davao City. Responsibilities include working with PyTorch, TensorFlow, Machine Learning, Generative AI, NLP, Python. The ideal candidate has strong analytical and communication skills."
JP0046,Junior Data Analyst (Urgent),Banwa Digital,"Davao City, Davao Region",WFH,Contract,"Up to ₱37,000/month","Mar 24, 2026","Banwa Digital is looking for a Junior Data Analyst based in Davao City. Responsibilities include working with Power BI, Python, Excel, Statistics, Tableau, SQL. The ideal candidate has strong analytical and communication skills."
JP0094,Senior Data Scientist,Alon Digital Ventures,"Cebu City, Central Visayas",Hybrid ,Full-time ,"PHP 126,000-161,000 monthly","Jun 21, 2026","Alon Digital Ventures is looking for a Senior Data Scientist based in Cebu City. Responsibilities include working with Statistics, Pandas, Python, Deep Learning. The ideal candidate has strong analytical and communication skills."
JP0092,Data Engineer,Tagpo Technologies,"Cebu City, Central Visayas",WFH,Full-time ,"PHP 86,000-109,000 monthly","Jun 14, 2026","Tagpo Technologies is looking for a Data Engineer based in Cebu City. Responsibilities include working with Snowflake, ETL, Python, SQL, Spark, Azure. The ideal candidate has strong analytical and communication skills."
JP0048,Senior AI/ML Engineer - Hybrid,Bughaw Systems,"Taguig, Metro Manila",Hybrid ,Full-time,"186,000 to 238,000 PHP per month","Mar 30, 2026","Bughaw Systems is looking for a Senior AI/ML Engineer based in Taguig. Responsibilities include working with Generative AI, TensorFlow, Python, Machine Learning. The ideal candidate has strong analytical and communication skills."
JP0011,Data Analyst,Duyan AI Labs,"Cebu City, Central Visayas",On-site,Permanent,"Up to ₱52,000/month","Jan 22, 2026","Duyan AI Labs is looking for a Data Analyst based in Cebu City. Responsibilities include working with Python, SQL, Power BI, Excel, Tableau. The ideal candidate has strong analytical and communication skills."
JP0001,AI/ML Engineer (Remote),Bughaw Systems,,Hybrid,full-time,"107,000 to 137,000 PHP per month",04-Jan-26,"Bughaw Systems is looking for a AI/ML Engineer based in Cebu City. Responsibilities include working with PyTorch, Python, NLP, TensorFlow. The ideal candidate has strong analytical and communication skills."
JP0019,Business Intelligence Analyst (Remote),Tagpo Technologies,"Pasig, Metro Manila",On-site,Full-time ,,2026-02-04,"Tagpo Technologies is looking for a Business Intelligence Analyst based in Pasig. Responsibilities include working with SQL, Data Modeling, Tableau, DAX. The ideal candidate has strong analytical and communication skills."
JP0032,Junior Product Analyst,Tagpo Technologies,"Taguig, Metro Manila",Hybrid ,Full Time,₱40.0K - ₱51.0K /mo,02/26/2026,"Tagpo Technologies is looking for a Junior Product Analyst based in Taguig. Responsibilities include working with Excel, Statistics, SQL, Tableau, Python. The ideal candidate has strong analytical and communication skills."
JP0089,Data Analyst  ,Alon Digital Ventures,"Mandaluyong, Metro Manila",Hybrid ,Permanent,₱45.0K - ₱58.0K /mo,12-Jun-26,"Alon Digital Ventures is looking for a Data Analyst based in Mandaluyong. Responsibilities include working with Excel, Python, Power BI, Statistics, SQL. The ideal candidate has strong analytical and communication skills."
JP0096,Data Engineer - Hybrid,Tagpo Technologies,"Pasig, Metro Manila",Hybrid,Full-time,₱96.0K - ₱123.0K /mo,"Jun 22, 2026","Tagpo Technologies is looking for a Data Engineer based in Pasig. Responsibilities include working with Snowflake, Spark, Azure, Airflow, SQL. The ideal candidate has strong analytical and communication skills."
JP0078,Data Engineer - Hybrid,Alon Digital Ventures,"Pasig, Metro Manila",Hybrid,full-time,"₱93,000 - ₱118,000 / month",05/22/2026,"Alon Digital Ventures is looking for a Data Engineer based in Pasig. Responsibilities include working with SQL, Azure, Snowflake. The ideal candidate has strong analytical and communication skills."
